Dropped_Feature,AUC_without,Delta_AUC,Impact
s100,0.9981,-0.0001,Neutral
tau_abeta_ratio,0.9981,-0.0001,Neutral
serum_igf1,0.9981,-0.0001,Neutral
nfl_tau_ratio,0.9982,-0.0000,Neutral
gfap_nfl_ratio,0.9982,-0.0000,Neutral
total_protein,0.9982,-0.0000,Neutral
igg_index,0.9982,-0.0000,Neutral
csf_igg,0.9983,+0.0000,Neutral
gfap,0.9982,+0.0000,Neutral
tau,0.9983,+0.0000,Neutral
inflammation_score,0.9982,+0.0000,Neutral
alpha_synuclein,0.9982,+0.0000,Neutral
csf_albumin,0.9982,+0.0000,Neutral
il6,0.9982,+0.0000,Neutral
plasma_albumin,0.9982,+0.0000,Neutral
amyloid_beta,0.9982,+0.0000,Neutral
wbc,0.9982,+0.0000,Neutral
serum_albumin,0.9983,+0.0001,Neutral
nfl,0.9984,+0.0001,Neutral
qalb_nfl_ratio,0.9983,+0.0001,Neutral
