Model,Sensitivity,Specificity,PPV,NPV,TP,FP,TN,FN
SVM (RBF) - LFP,0.9793,0.9773,0.993,0.9348,569,4,172,12
Random Forest - LFP,0.9811,0.9489,0.9845,0.9382,570,9,167,11
XGBoost - LFP,0.988,0.9318,0.9795,0.9591,574,12,164,7
1D-CNN - LFP,0.9914,0.8807,0.9648,0.9688,576,21,155,5
LSTM - LFP,0.9828,0.9205,0.9761,0.9419,571,14,162,10
XGBoost - BBB,0.9449,0.4091,0.8407,0.6923,549,104,72,32
XGBoost Early Fusion,0.988,0.9375,0.9812,0.9593,574,11,165,7
LFP Transformer,0.9914,0.8807,0.9648,0.9688,576,21,155,5
BBB MLP,0.8881,0.4602,0.8445,0.5548,516,95,81,65
Cross-Attention Fusion,0.988,0.8977,0.9696,0.9576,574,18,158,7
